,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag
0,4.0,0.463391137,6710,35495355.0,0.86,1497,0.05,48949,0,1,Harvard
1,3.75,0.80692959,40168,29041575.0,0.55,1297,0.4,10136,1,0,UT
2,3.87,0.477272727,5472,25490350.0,0.86,1498,0.06,51400,0,1,Yale
3,3.9,0.267241379,5400,22438026.5,0.89,1490,0.07,47140,0,1,Princeton
4,3.9,0.46272189399999997,7034,22310543.5,0.75,1479,0.05,49617,0,1,SU
5,3.8,0.493503937,30979,15350000.0,0.29,1290,0.51,5460,0,0,Brigham
6,3.92,0.577142857,4524,13328129.0,0.84,1507,0.08,49892,0,1,MIT
7,3.9,0.68252149,10019,10424466.5,0.85,1457,0.09,53534,0,1,Cal U 
8,4.0,0.781656805,8353,9920767.0,0.84,1460,0.11,52678,0,1,NU
9,3.8,0.811149228,28983,9847787.0,0.76,1384,0.29,14826,1,0,U of M
10,4.0,0.7027914609999999,6113,9340046.0,0.86,1473,0.06,57208,0,1,CU
11,3.89,0.852300242,8530,8470517.5,0.9,1455,0.19,51505,0,1,ND
12,3.9,0.67008135,29311,8169086.0,0.76,1397,0.16,14098,1,0,Berkeley
13,4.0,0.6603773589999999,5941,7275457.0,0.89,1506,0.08,54825,0,1,UChicago 
14,3.91,0.88019802,6609,7068162.5,0.86,1450,0.11,53744,0,1,DU
15,3.87,0.745689655,7540,6640232.5,0.88,1469,0.17,51533,0,1,Wash U 
16,3.7,0.87917967,6861,6542977.5,0.85,1366,0.25,49392,0,1,Em
17,3.86,0.8047253059999999,14566,5897634.0,0.87,1428,0.14,52853,0,1,CU
18,3.89,0.6724137929999999,3893,5440884.0,0.83,1482,0.15,45608,0,1,Rice
19,3.9,0.8580075659999999,18794,4659112.5,0.77,1391,0.17,54259,0,1,SC
20,3.89,0.8057553959999999,4310,4568947.5,0.88,1437,0.11,52950,0,1,Dartmouth
21,3.8,0.563872256,6871,3977864.5,0.87,1498,0.11,47664,0,1,Vandy
22,3.6,0.914684449,41359,3619021.0,0.68,1094,0.56,18436,1,0,Pennsylvania
23,3.8,0.866984222,45831,3606224.5,0.59,1295,0.54,10591,1,0,Ohio
24,4.0,0.952991453,19123,3556839.5,0.64,1201,0.55,19080,1,0,Pitt
25,3.6,0.8542278329999999,26135,3531941.0,0.82,1360,0.32,50464,0,1,NYU
26,3.9,0.8990731209999999,6117,3396949.0,0.88,1453,0.12,52170,0,1,Hopkins
27,3.73,0.885806705,34871,3289070.5,0.61,1285,0.44,14417,1,0,UoMC
28,3.75,0.740981364,30933,3022119.5,0.65,1223,0.45,10974,1,0,The U
29,3.89,0.715824358,6926,3018357.5,0.84,1457,0.09,53419,0,1,Brown
30,4.0,0.7034920640000001,18523,2939242.5,0.84,1343,0.27,9005,1,1,UoNCH
31,3.8,0.8540899040000001,31710,2442106.0,0.57,1300,0.53,10533,1,0,UoW
32,3.8,0.869190632,33932,2339732.0,0.7,1305,0.6,15868,1,0,UI 
33,3.7,0.796935395,30043,2326221.5,0.49,1231,0.56,10002,1,0,Purdue
34,3.86,0.653669725,2076,2325630.0,0.86,1442,0.18,53550,0,1,Williams
35,3.83,0.8824911870000001,3036,2280678.0,0.84,1337,0.32,50910,0,0,UR 
36,3.7,0.8928537259999999,39090,2249782.0,0.52,1159,0.66,14460,1,0,MSU
37,3.93,0.48387096799999996,979,2152805.5,0.81,1544,0.08,49908,0,1,Caltech
38,3.9,0.9595570529999999,9309,2141950.0,0.89,1380,0.31,53346,0,1,BC
39,4.0,0.5,1849,2112677.0,0.86,1451,0.14,54310,0,1,Amherst
40,4.0,0.47292418799999997,1660,2041817.5,0.92,1435,0.09,51075,0,0,POM
41,3.8,0.948364888,6386,1988886.0,0.74,1410,0.38,52020,0,1,UR 
42,3.7,0.862080425,39184,1980339.5,0.6,1199,0.79,10533,1,0,Indiana
43,3.9,0.806637807,15489,1851370.5,0.41,1403,0.26,12418,1,1,Ge
44,3.9,0.7218009479999999,30873,1834138.0,0.74,1339,0.18,13256,1,1,UoCA
45,3.98,0.695652174,2347,1818991.0,0.83,1369,0.29,51148,0,1,Wellesley
46,3.89,0.569230769,1543,1796380.5,0.88,1431,0.13,50822,0,1,Swarthm
47,3.8,0.9484361790000001,6673,1724046.0,0.75,1448,0.22,53910,0,1,CMU
48,3.71,0.935986159,5152,1719369.0,0.64,1398,0.35,47500,0,1,Reserve
49,4.0,0.890322581,1699,1718279.0,0.81,1402,0.2,50464,0,0,Grinnell
50,3.9,0.912258065,2514,1704616.0,0.86,1410,0.37,50044,0,0,Smith
51,3.6,0.942863917,17944,1649324.0,0.81,1303,0.29,52082,0,1,BU
52,3.6,0.9186428740000001,24212,1599010.5,0.36,1097,0.75,13570,1,0,VCU
53,3.8,0.93646978,11504,1593317.5,0.76,1294,0.4,53518,0,0,GW 
54,4.0,0.749235474,5508,1577993.5,0.87,1424,0.14,54318,0,1,TU
55,3.6,0.8341364840000001,22436,1521689.0,0.4,1204,0.71,9062,1,0,OU
56,4.0,0.656118825,34554,1508525.0,0.67,1272,0.46,6381,1,1,UF
57,3.5,0.862807525,20833,1506580.5,0.36,1145,0.75,8690,1,0,NU
58,3.89,0.8564213559999999,7453,1506185.5,0.9,1416,0.17,52300,0,1,Ge
59,3.6,0.897549094,19262,1487780.0,0.41,1145,0.93,10824,1,0,KU
60,3.58,0.852135816,8891,1475097.5,0.63,1220,0.38,44760,0,0,TCU
61,3.87,0.820143885,1830,1471879.5,0.88,1395,0.24,51148,0,1,W&L
62,3.54,0.903946125,25898,1468475.0,0.44,1203,0.78,10716,1,0,MSU
63,3.7,0.8826291079999999,6521,1444638.5,0.68,1330,0.49,52498,0,0,SMU
64,3.8,0.680781759,1806,1366370.5,0.89,1505,0.15,51848,0,1,Bowdoin
65,3.7,0.933625337,18374,1301581.5,0.71,1198,0.65,12830,1,0,UD
66,3.6,0.9068706390000001,24476,1261176.0,0.51,1164,0.84,8575,1,0,SUI
67,3.7,0.916921732,32563,1229867.5,0.44,1181,0.53,10780,1,0,Bama
68,3.5,0.9108547459999999,6377,1195889.0,0.72,1346,0.26,52960,0,1,TU
69,3.8,0.96064257,5080,1187959.0,0.77,1338,0.26,50740,0,1,LU
70,3.6,0.8732558140000001,25860,1180710.5,0.31,1165,0.76,11000,1,0,UC
71,3.7,0.9435806309999999,15218,1161468.5,0.69,1195,0.52,46755,0,1,'Cuse
72,3.64,0.911802192,14348,1156261.0,0.58,1239,0.4,43790,0,0,BU
73,3.88,0.889585947,4955,1154305.5,0.84,1380,0.3,51400,0,1,WFU
74,3.5,0.8610229979999999,29963,1152364.5,0.34,1134,0.63,10771,1,0,TTU
75,3.7,0.8848398390000001,22621,1130287.0,0.38,1143,0.91,11922,1,0,UK
76,3.9,0.818227467,22139,1103279.0,0.43,1214,0.77,12970,1,0,Chatt 
77,3.7,0.871927352,27846,1076480.5,0.47,1212,0.77,11531,1,0,CU
78,3.5,0.162031439,1665,1076078.0,0.48,1117,0.33,25200,0,0,Berea
79,3.9,0.91691023,7454,1073191.5,0.66,1257,0.65,42166,0,0,SLU
80,3.95,0.8479853479999999,2532,1050826.0,0.85,1383,0.16,52496,0,1,Middlebury
81,3.55,0.75,23789,1049846.5,0.29,1130,0.76,9166,1,0,The U
82,3.66,0.859842698,36168,1042817.0,0.59,1187,0.57,14372,1,1,Rutgers
83,3.86,0.8425741259999999,27951,1010859.5,0.63,1252,0.54,11818,1,1,Ge
84,3.9,0.8238557559999999,3406,997346.0,0.58,1295,0.37,39502,0,1,TU
85,3.7,0.8625277159999999,23847,991289.5,0.48,1264,0.46,9058,1,1,NCSU
86,4.0,0.815631542,28472,977554.5,0.69,1315,0.48,10399,1,1,College Park
87,3.8,0.719054242,2424,955893.0,0.87,1405,0.27,55210,0,1,Vassar
88,3.7,0.860137852,22548,923793.5,0.42,1154,0.63,9062,1,0,U of A
89,3.4,0.832986905,24904,896802.5,0.41,1039,0.72,11391,1,0,Wazzu
90,3.9,0.943052392,3608,890932.5,0.83,1360,0.33,53582,0,1,Brandeis
91,4.0,0.865499573,10849,865986.0,0.7,1319,0.38,48484,0,1,The U
92,3.5,0.8041967959999999,21093,862276.5,0.39,1118,0.75,8738,1,0,OK State
93,3.7,0.858299595,2882,856953.0,0.85,1374,0.29,53980,0,1,Colgate
94,3.5,0.675084175,2714,847148.0,0.71,1229,0.51,42000,0,1,YU
95,3.97,0.90521327,1879,836638.5,0.89,1445,0.26,52770,0,0,Hamilton
96,3.88,0.9576271190000001,1381,825053.0,0.78,1346,0.4,50500,0,0,BMC
97,3.4,0.906122449,26118,816833.0,0.42,1210,0.76,11374,1,0,Louisiana
98,4.0,0.8402718779999999,6276,807457.5,0.85,1353,0.37,20287,1,1,CoWaM
99,3.6,0.946202532,2895,801326.5,0.72,1357,0.28,53460,0,0,Oberlin
100,3.59,0.92257361,3542,793247.5,0.76,1226,0.37,51992,0,1,Pepperdine
101,3.73,0.741590214,2971,790069.5,0.87,1425,0.18,52474,0,1,IWU
102,3.5,0.809320527,15827,779988.5,0.28,1159,0.73,11264,1,0,U of L
103,3.6,0.916984925,30671,773333.0,0.44,1142,0.87,8420,1,0,ISU
104,3.53,0.721655066,35871,768190.5,0.23,1154,0.59,11887,1,0,UH
105,3.42,0.804612821,34072,761295.5,0.42,1165,0.79,11644,1,0,U of A
106,4.0,0.875338753,2105,760796.0,0.88,1400,0.23,52782,0,1,Carleton
107,3.6,0.946791862,2277,756640.5,0.79,1345,0.44,50440,0,0,DU
108,3.5,0.949790795,3571,755889.5,0.84,1315,0.3,53986,0,0,Bucknell
109,3.5,0.9363636359999999,2550,755398.5,0.85,1294,0.28,50850,0,0,Lafayette
110,3.3,0.811498065,12847,752194.0,0.18,1055,0.69,13828,1,0,UoM
111,3.6,0.9416683259999999,12410,751806.5,0.29,1251,0.55,40068,0,1,RIT
112,3.6,0.85971159,20049,738901.5,0.5,1119,0.78,11571,1,1,UO
113,3.89,0.93902439,2146,731103.5,0.84,1358,0.37,52464,0,1,Macalester
114,3.9,0.809688581,1879,728308.0,0.84,1363,0.19,53120,0,1,Colby
115,4.0,0.815315315,1347,721488.5,0.86,1408,0.09,52825,0,1,CMC
116,4.0,0.9192917909999999,13473,711212.5,0.82,1435,0.29,49497,0,1,NE
117,3.85,0.803370787,2101,701655.0,0.82,1400,0.17,53238,0,1,CC
118,3.05,0.947916667,2941,701151.5,0.89,1375,0.38,50630,0,1,CotHC
119,3.8,0.958598726,2199,683949.5,0.78,1410,0.52,47940,0,0,MHC 
120,3.5,0.833219878,5899,672702.5,0.39,1105,0.3,25697,0,1,HU
121,3.9,0.72299169,1796,672213.0,0.9,1355,0.2,49949,0,1,DC
122,3.5,0.8783555470000001,16440,664659.0,0.37,1080,0.63,40790,0,0,SJU
