,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag,pc1,pc2,pc3,followers,tweets,following
170,3.7,0.953692115,2289,388410.0,0.71,1335,0.55,44400,0,1,Clark,0.9175771388184263,-1.162465120161186,-0.3919159952246748,106,"128
            ",70
171,3.6,0.9185441940000001,2062,381923.5,0.76,1304,0.46,52838,0,1,Oxy,1.1589945874474104,-1.3332417055172303,0.0131212526652079,16.9K,"8,973
            ",630
172,3.67,0.8747632879999999,19324,380160.0,0.7,1233,0.49,14880,1,1,UConn,-1.1562336878648338,0.8334022232593441,-0.8740931171532951,"3,618","752
            ",687
173,3.5,0.912317328,3483,379057.5,0.5,1152,0.66,46346,0,1,Pacific,-0.5311999750465732,-1.723288336601729,0.7470107517396792,"6,446","12.9K
            ",284
174,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780,0,0,QU,-0.7217757590053154,-2.2109508455519338,0.42909822938145803,11K,"10.5K
            ",215
175,3.7,0.8829268290000001,1731,367797.5,0.79,1295,0.44,45120,0,1,Sewanee,1.227965805584684,-0.9518095991809346,-0.10134056776108859,182K,"19.9K
            ","3,324"
176,3.5,0.920197044,2125,354886.5,0.71,1015,0.53,28181,0,1,Spelman,-0.6386785629033608,-1.6770114621680716,0.6615482939533218,34.8K,"21.9K
            ","1,285"
177,3.7,0.960212202,843,341020.0,0.64,1145,0.63,42250,0,1,Wabash,0.02845181667706295,-1.6109991356174076,-0.019121438704708105,"4,976","5,342
            ",287
178,3.3,0.914032698,18313,337755.0,0.22,1030,0.82,1943,1,1,WMU,-4.179386823452698,-0.29401447682192294,0.6726267773314535,"3,657","4,096
            ",162
179,3.68,0.925233645,2680,335776.0,0.85,1239,0.29,52446,0,1,Skidm,1.5238274891782848,-1.1673607202177791,-0.20261203073755293,60,"146
            ",14
180,3.3,0.909277294,7014,334584.0,0.53,1200,0.6,47330,0,1,The,-0.5603849723987857,-1.7817819269175024,1.0163407489303844,80.6K,"34.4K
            ",847
181,4.0,0.7473672290000001,29546,330564.5,0.55,1226,0.42,14382,1,1,UoC,-1.1451698812333275,2.2599748579680075,-1.158718933234705,"1,031","2,489
            ",116
182,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,1,Rhodes,1.3174811690907948,-0.8578368468960742,-0.7525100983744067,"8,924","6,541
            ",883
183,3.81,0.944816054,2255,320093.0,0.83,1375,0.36,54380,0,1,Franklin,1.9985823524086892,-0.8923338905386617,-0.76454832378521,"8,025","7,115
            ","1,081"
184,3.46,0.669511902,24838,319987.5,0.23,1084,0.9,7174,1,1,USU,-3.8250463872024967,0.9182550321515421,1.0509501234058747,533,"726
            ",310
